[5] train loss: 5.827322043478489, train metric: 19.298811048269272, lr: 0.0010000000474974513
[180] train loss: 34.827373676002026, train metric: 31.394968509674072, lr: 0.0009255966870114207
[185] train loss: 30.87605132162571, train metric: 24.038734138011932, lr: 0.0009214009623974562
[190] train loss: 11.162338800728321, train metric: 25.413916289806366, lr: 0.0009171001729555428
[195] train loss: 41.52223088592291, train metric: 22.447842717170715, lr: 0.000912695424631238
[200] train loss: 45.553347796201706, train metric: 23.482550114393234, lr: 0.00090818788157776
[205] train loss: 13.08619900047779, train metric: 41.99757045507431, lr: 0.0009035785333253443
[210] train loss: 22.21868083626032, train metric: 31.328283548355103, lr: 0.0008988686604425311
[215] train loss: 26.66458074748516, train metric: 30.85223138332367, lr: 0.0008940593688748777
[220] train loss: 43.48789124190807, train metric: 31.718161284923553, lr: 0.0008891518809832633
[225] train loss: 9.1025510430336, train metric: 37.992413848638535, lr: 0.0008841473609209061
[230] train loss: 17.329125359654427, train metric: 20.030162811279297, lr: 0.0008790471474640071
[235] train loss: 37.23178616166115, train metric: 21.39793911576271, lr: 0.0008738524629734457
[0] train loss: 6833053.617036057, train metric: 13126.231211242675, lr: 0.0009949617087841034
[0] train loss: 241322.5, train metric: 1354.8934326171875, lr: 0.0009949617087841034
[0] train loss: 35461364.0, train metric: 7884.634765625, lr: 0.0009949617087841034
[0] train loss: 239539.921875, train metric: 779.670654296875, lr: 0.0009949617087841034
[0] train loss: 614753344.0, train metric: 27360.509765625, lr: 0.0009949617087841034
[0] train loss: 12253489.0, train metric: 6768.8076171875, lr: 0.0009949617087841034
[1] train loss: 97076.5625, train metric: 1456.1544189453125, lr: 0.0009776754304766655
[0] train loss: 310419767951360.0, train metric: 38014536.0, lr: 0.00096276612021029
[1] train loss: 535.0977783203125, train metric: 168.00115966796875, lr: 0.0008510327897965908
[2] train loss: 197.08612060546875, train metric: 116.15437316894531, lr: 0.0006827404722571373
[3] train loss: 150.0726318359375, train metric: 98.36346435546875, lr: 0.00048500468255952
[4] train loss: 111.6917724609375, train metric: 67.13912963867188, lr: 0.0002896849764510989
[5] train loss: 164.98150634765625, train metric: 102.37415313720703, lr: 0.00012825157318729907
[0] train loss: 987600453632.0, train metric: 2739076.0, lr: 0.00096276612021029
[1] train loss: 241.95693969726562, train metric: 152.48155212402344, lr: 0.0008510327897965908
[2] train loss: 104.279541015625, train metric: 71.12077331542969, lr: 0.0006827404722571373
[3] train loss: 89.49620056152344, train metric: 54.68601989746094, lr: 0.00048500468255952
[4] train loss: 70.80645751953125, train metric: 42.15190124511719, lr: 0.0002896849764510989
[5] train loss: 63.51316833496094, train metric: 47.874595642089844, lr: 0.00012825157318729907
[6] train loss: 148.60760498046875, train metric: 78.58516693115234, lr: 9.999999747378752e-05
[7] train loss: 79.98214721679688, train metric: 43.36308288574219, lr: 0.0009991005063056946
[8] train loss: 127.68916320800781, train metric: 72.92587280273438, lr: 0.0009471045923419297
[9] train loss: 184.83792114257812, train metric: 88.28639221191406, lr: 0.0008230703533627093
[10] train loss: 45.06443405151367, train metric: 44.12432861328125, lr: 0.0006469824584200978
[11] train loss: 137.3675079345703, train metric: 62.34891891479492, lr: 0.00044721245649270713
[12] train loss: 56.16985321044922, train metric: 44.61443328857422, lr: 0.0002559476706665009
[13] train loss: 53.20270538330078, train metric: 40.855133056640625, lr: 0.00010400506289443001
[14] train loss: 48.475685119628906, train metric: 36.85120391845703, lr: 9.999999747378752e-05
[15] train loss: 32.3458251953125, train metric: 34.60039520263672, lr: 0.0009953988483175635
[16] train loss: 46.57887649536133, train metric: 45.77602005004883, lr: 0.0009288769797421992
[0] train loss: nan, train metric: nan, lr: 0.00096276612021029
[0] train loss: 533559022452736.0, train metric: 30144004.0, lr: 0.0009913494577631354
[0] train loss: 9316.4345703125, train metric: 327.8740234375, lr: 0.00096276612021029
[1] train loss: 344.27276611328125, train metric: 162.6826934814453, lr: 0.0008510327897965908
[2] train loss: 417.1195373535156, train metric: 141.43624877929688, lr: 0.0006827404722571373
[3] train loss: 212.428955078125, train metric: 116.60992431640625, lr: 0.00048500468255952
[4] train loss: 149.0785675048828, train metric: 87.11189270019531, lr: 0.0002896849764510989
[5] train loss: 259.998046875, train metric: 113.34952545166016, lr: 0.00012825157318729907
[6] train loss: 267.5498962402344, train metric: 134.92959594726562, lr: 9.999999747378752e-05
[7] train loss: 181.79617309570312, train metric: 95.56214904785156, lr: 0.0009991005063056946
[8] train loss: 299.73223876953125, train metric: 141.86077880859375, lr: 0.0009471045923419297
[9] train loss: 380.3538513183594, train metric: 112.73429870605469, lr: 0.0008230703533627093
[10] train loss: 191.63807678222656, train metric: 78.2537841796875, lr: 0.0006469824584200978
[11] train loss: 384.28240966796875, train metric: 142.2404022216797, lr: 0.00044721245649270713
[12] train loss: 321.81768798828125, train metric: 143.36119079589844, lr: 0.0002559476706665009
[13] train loss: 242.52276611328125, train metric: 108.0171890258789, lr: 0.00010400506289443001
[14] train loss: 232.87899780273438, train metric: 111.31364440917969, lr: 9.999999747378752e-05
[15] train loss: 179.82894897460938, train metric: 101.5040283203125, lr: 0.0009953988483175635
[16] train loss: 266.77825927734375, train metric: 125.16899871826172, lr: 0.0009288769797421992
[17] train loss: 166.97122192382812, train metric: 93.24765014648438, lr: 0.0007932536536827683
[18] train loss: 209.5859375, train metric: 104.9936294555664, lr: 0.0006103807827457786
[19] train loss: 292.2377014160156, train metric: 150.00035095214844, lr: 0.0004097231721971184
[20] train loss: 199.2758331298828, train metric: 95.09625244140625, lr: 0.0002236111176898703
[21] train loss: 232.3019256591797, train metric: 132.8987579345703, lr: 9.999999747378752e-05
[22] train loss: 244.7681884765625, train metric: 110.34135437011719, lr: 9.999999747378752e-05
[23] train loss: 261.7647705078125, train metric: 101.87411499023438, lr: 0.0009888538625091314
[24] train loss: 270.31787109375, train metric: 127.7552490234375, lr: 0.00090818788157776
[25] train loss: 387.5590515136719, train metric: 147.49185180664062, lr: 0.0007617538794875145
[26] train loss: 228.38897705078125, train metric: 121.37728881835938, lr: 0.000573145633097738
[27] train loss: 250.06349182128906, train metric: 108.51663208007812, lr: 0.0003727520233951509
[28] train loss: 204.82122802734375, train metric: 97.1974868774414, lr: 0.0001928608544403687
[29] train loss: 148.3687744140625, train metric: 96.09786224365234, lr: 9.999999747378752e-05
[30] train loss: 226.41702270507812, train metric: 128.49685668945312, lr: 9.999999747378752e-05
[31] train loss: 215.79855346679688, train metric: 122.88676452636719, lr: 0.0009795031510293484
[32] train loss: 326.4179992675781, train metric: 139.65403747558594, lr: 0.0008851559832692146
[33] train loss: 263.188720703125, train metric: 104.80563354492188, lr: 0.000728751765564084
[0] train loss: 215.3929443359375, train metric: 82.6767578125, lr: 0.00096276612021029
